,0
951,11038
952,11043
953,11029
954,11045
955,11060
956,11050
957,11032
958,11050
959,11016
960,11031
961,11021
962,11027
963,11032
964,11032
965,11024
966,11022
967,11011
968,11008
969,11008
970,11016
971,11018
972,11012
973,11004
974,11017
975,11016
976,11015
977,11006
978,11009
979,10999
980,11000
981,11010
982,10993
983,10998
984,10985
985,11000
986,10996
987,10988
988,10984
989,10977
990,10990
991,11005
992,10984
993,11003
994,11002
995,10994
996,10972
997,10983
998,10989
999,10991
1000,10973
1001,10990
1002,10986
1003,10987
1004,10982
1005,10966
1006,10994
1007,11004
1008,10986
1009,11004
1010,10983
1011,10972
1012,10984
1013,10986
1014,10985
1015,10988
1016,10971
1017,11003
1018,10988
1019,10980
1020,10989
1021,10990
1022,10987
1023,10978
1024,10997
1025,10994
1026,10989
1027,10990
1028,10984
1029,10998
1030,10992
1031,10981
1032,10984
1033,10992
1034,11004
1035,11012
1036,10995
1037,10983
1038,11006
1039,10996
1040,10994
1041,11007
1042,11015
1043,11000
1044,11007
1045,11004
1046,11018
1047,11013
1048,11016
1049,11016
1050,11005
1051,11011
1052,11003
1053,11017
1054,11014
1055,11027
1056,11016
1057,11033
1058,11008
1059,11017
1060,11032
1061,11008
1062,11023
1063,11034
1064,11010
1065,11028
1066,11032
1067,11037
1068,11014
1069,11013
1070,11039
1071,11021
1072,11039
1073,11028
1074,11032
1075,11037
1076,11049
1077,11030
1078,11027
1079,11055
1080,11020
1081,11023
1082,11027
1083,11045
1084,11047
1085,11029
1086,11030
1087,11038
1088,11034
1089,11048
1090,11050
1091,11039
1092,11059
1093,11048
1094,11042
1095,11051
1096,11037
1097,11042
1098,11039
1099,11060
1100,11053
1101,11048
1102,11066
1103,11063
1104,11051
1105,11038
1106,11056
1107,11052
1108,11049
1109,11063
1110,11057
1111,11067
1112,11064
1113,11053
1114,11058
1115,11049
1116,11068
1117,11071
1118,11075
1119,11075
1120,11066
1121,11064
1122,11064
1123,11061
1124,11049
1125,11069
1126,11077
1127,11067
1128,11081
1129,11066
1130,11078
1131,11074
1132,11078
1133,11083
1134,11093
1135,11074
1136,11087
1137,11084
1138,11080
1139,11078
1140,11078
1141,11086
1142,11094
1143,11091
1144,11092
1145,11100
1146,11096
1147,11091
1148,11094
1149,11094
1150,11086
1151,11085
1152,11089
1153,11101
1154,11098
1155,11106
1156,11109
1157,11110
1158,11104
1159,11101
1160,11104
1161,11112
1162,11097
1163,11121
1164,11111
1165,11103
1166,11109
1167,11116
1168,11122
1169,11143
1170,11118
1171,11125
1172,11124
1173,11122
1174,11145
1175,11148
1176,11125
1177,11145
1178,11144
1179,11144
1180,11150
1181,11140
1182,11134
1183,11128
1184,11152
1185,11156
